instance_name pci_029_n0082_full
7 66
7 67
7 68
7 69
7 70
8 25
8 26
8 34
8 35
8 38
8 40
8 67
9 25
9 26
9 34
9 35
9 38
9 40
9 67
10 25
10 26
10 34
10 35
10 38
10 40
10 67
11 39
12 16
12 18
12 19
12 20
12 21
12 32
12 43
12 46
12 47
12 49
12 52
12 65
12 68
12 72
13 16
13 19
13 20
13 22
13 47
13 49
13 72
14 17
14 18
14 19
14 45
14 46
14 47
14 48
14 49
14 50
14 53
14 55
14 57
14 62
14 73
14 74
14 75
14 76
14 79
14 80
14 81
15 18
15 20
15 44
15 46
15 47
15 48
15 49
15 54
15 71
15 73
15 81
16 17
16 18
16 20
16 21
16 44
16 45
16 50
16 54
16 55
16 57
17 21
17 22
17 23
17 43
17 44
17 45
17 47
17 48
17 49
17 50
17 52
17 54
17 71
17 73
18 21
18 23
18 32
18 43
18 44
18 45
18 47
18 48
18 49
18 51
18 52
18 54
18 65
18 68
18 71
18 73
19 20
19 22
19 46
19 50
19 54
19 71
19 73
19 81
20 24
20 25
20 32
20 35
20 42
20 43
20 44
20 45
20 47
20 49
20 51
20 52
20 65
20 66
20 68
20 72
20 81
21 23
21 24
21 25
21 28
21 31
21 33
21 34
21 35
21 36
21 37
21 38
21 40
21 41
21 44
21 45
21 48
21 51
21 66
21 67
21 68
21 69
22 23
22 24
22 25
22 28
22 31
22 33
22 34
22 35
22 36
22 37
22 38
22 40
22 41
22 42
22 44
22 45
22 48
22 50
22 51
22 66
22 67
22 69
22 70
22 72
22 81
23 26
23 27
23 28
23 29
23 31
23 32
23 33
23 34
23 36
23 37
23 38
23 39
23 41
23 42
23 46
23 48
23 50
23 51
23 67
23 68
23 69
24 27
24 28
24 29
24 30
24 31
24 32
24 33
24 34
24 36
24 37
24 39
24 40
24 41
24 42
24 43
24 45
24 46
24 50
24 65
24 68
24 69
25 26
25 27
25 29
25 30
25 37
25 40
25 43
25 51
25 52
25 65
25 68
25 69
26 30
26 32
26 34
26 36
26 37
26 39
26 40
26 51
26 52
26 65
26 67
26 68
26 69
27 32
27 34
27 36
27 37
27 38
27 65
27 66
27 67
27 69
28 39
28 40
28 65
28 66
28 68
28 70
29 32
29 34
29 36
29 37
29 39
29 40
29 65
29 66
29 67
29 68
29 69
30 32
30 34
30 35
30 37
30 38
30 39
30 40
30 65
30 66
30 69
31 34
31 39
31 40
31 65
31 66
31 68
31 70
32 39
32 42
32 43
32 46
32 50
32 52
32 66
32 68
32 70
32 81
33 39
33 40
33 65
33 66
33 68
33 70
34 35
34 40
34 65
34 66
34 68
34 70
35 39
35 40
35 43
35 51
35 52
35 68
35 70
36 39
36 40
36 65
36 66
36 68
36 69
37 39
37 65
37 66
37 68
37 70
38 43
38 51
38 52
38 70
39 65
39 66
39 68
39 69
39 70
40 65
40 66
40 68
41 45
41 46
41 50
41 52
41 65
42 45
42 46
42 50
42 52
42 65
42 81
43 44
43 45
43 66
43 67
43 68
43 69
43 81
44 51
44 52
44 54
44 71
44 72
45 50
45 52
45 74
45 75
45 76
45 79
46 48
46 51
46 65
46 66
46 68
46 72
46 74
46 75
46 76
46 79
46 80
46 81
47 54
47 71
47 73
47 81
48 50
48 54
48 71
48 73
48 81
49 71
49 72
49 81
50 65
50 66
50 72
50 74
50 75
50 76
50 79
50 80
51 65
51 66
51 67
51 80
51 81
52 67
52 68
52 69
52 81
53 56
53 58
53 59
53 61
53 62
53 63
53 64
53 71
53 72
53 78
54 56
54 58
54 60
54 61
54 63
54 64
54 73
54 78
55 59
55 72
55 73
55 78
56 59
56 71
56 78
57 59
57 61
57 63
57 64
57 72
57 73
58 60
58 61
58 62
58 64
58 71
58 78
59 62
60 63
60 64
60 71
60 77
60 78
61 62
61 63
61 64
61 71
61 77
61 78
62 71
62 72
62 78
63 71
64 71
65 70
65 81
66 68
66 69
67 68
67 70
71 78
71 81
72 81
73 81
74 75
74 76
74 79
74 80
74 81
75 76
75 79
75 80
75 81
76 79
76 80
76 81
77 78
79 80
79 81
80 81
original_pcis
461
460
459
481
482
480
210
211
212
132
133
134
198
199
102
103
104
419
418
417
474
475
476
73
72
74
105
107
106
103
104
102
42
44
43
108
110
109
144
145
146
447
448
449
457
458
456
29
28
27
393
394
395
22
21
23
36
37
38
95
93
94
432
433
434
6
8
7
400
401
399
65
64
63
0
0
0
0
0
0
0
0
cp_solver_time 0.078650146
feasible_solution
3
0
6
1
2
4
1
2
4
3
5
0
5
3
0
10
2
3
9
7
0
1
2
12
20
8
11
10
19
1
15
16
3
13
7
6
18
14
9
10
12
9
8
10
8
4
6
6
4
13
5
3
7
6
11
3
10
4
7
5
8
0
2
1
12
4
17
0
15
5
17
5
1
8
9
3
1
2
1
2
7
11
num_inter_technology_neighbors 0
inter_technology_neighbors
